doc_id,provider,document_family,period_or_date,period_status,media_type,extension,pages,text_layer,pdf_encrypted,width_px,height_px,content_sha256,natural_key_hash,byte_duplicate_copies,semantic_duplicate_candidate
BCA-0001,BCA,bca_monthly_statement_v1,2025-01,CLOSED,pdf,.pdf,4,True,True,,,60b1dbda41cf92092e0e3fea3c6dace76b6dbd6f3dcb76f7f1be4de652b5713b,85e02d957e72a7fa548f4d4cf36cc503be79308418321fc34c00fa59f93f9b69,1,False
BCA-0002,BCA,bca_monthly_statement_v1,2025-02,CLOSED,pdf,.pdf,9,True,True,,,e9ad3264b64a5cc119a849eed3b9c3dd87b216fb7655cec76f2e78038a2a3d21,df73483481163d102274615eff98cfd71c3a5363c40cdd6aa6a001b402bf6358,1,False
BCA-0003,BCA,bca_monthly_statement_v1,2025-03,CLOSED,pdf,.pdf,7,True,True,,,2a359e9738ae5cf21930cacdef08b606d245705c6499be7013948cb887b59153,2670b1e641c6e3d1bf0f1cae4173a82f39860c677e202057d3d47b41ba9756b8,1,False
BCA-0004,BCA,bca_monthly_statement_v1,2025-04,CLOSED,pdf,.pdf,7,True,True,,,55da2af70e31ad869129a596e8ec7e5a648c3227315ca9ef2c9fd9e0bef0bb1e,002acc4678ec5ebdd359a6aed3382a1a5620d3b5b25aa3d6c9cc6e15c496dfd1,1,False
BCA-0005,BCA,bca_monthly_statement_v1,2025-05,CLOSED,pdf,.pdf,9,True,True,,,192e5eb36ddd2787af0c4874da703392521b9f61d6a28f506430d240c6897e9f,2cc37b1eca5b357594b78a4bfe6efa87b117ca8d775a05ee28c09e568c10dcc3,1,False
BCA-0006,BCA,bca_monthly_statement_v1,2025-06,CLOSED,pdf,.pdf,8,True,True,,,0ae7403a74025261763da4fca7ae840a0f5e677feb31dc0f3b5ca4d46a95f9c7,72724bc875c117fe602a7edc9e46140032f45d53bd9ed0456b386c6ff29ece0e,1,False
BCA-0007,BCA,bca_monthly_statement_v1,2025-07,CLOSED,pdf,.pdf,8,True,True,,,c074b89ca74c767b2be43e381b473ede39c3cd39cc2c1894c464d84910e69885,dcf41f4c91475f9e5c9a0d453df24252bdd87582d4220453ee2c84aa33211710,1,False
BCA-0008,BCA,bca_monthly_statement_v1,2025-08,CLOSED,pdf,.pdf,9,True,True,,,ab98e912290451e0972230611f7905c3696639c7bf46419d9928527631ff3ab7,b928a53a0e3e11c21158883ae5ed97ac59afc0e8f4bffd4a418291d1a1424325,1,False
BCA-0009,BCA,bca_monthly_statement_v1,2025-09,CLOSED,pdf,.pdf,10,True,True,,,24d8a3d0f483bff36f9ecd4e499081069d5da9ba0375c778def080ed20934e7d,5fa9bd10ffc12c1cfa05ee63a7d74f4a9d04a4502dad58e13ae31b44709c52c2,1,False
BCA-0010,BCA,bca_monthly_statement_v1,2025-10,CLOSED,pdf,.pdf,12,True,True,,,f985e1ff8761cf4c77bf0ef74e9d9a0bd6b2bbec8bbfe39bc0dbd7437dd4138d,242d41ee0d76a400d5670728f9c778ddb1e0f1f5f14d7ab968d5cb044a1eb9ff,1,False
